品牌索引,品牌名称,车系名称,品牌ID,车系ID,汽车型号,发动机型号,气缸数,气缸排列形式,气门数,排量,环保标准,燃料形式,燃油标号,变速箱,上市时间,整车质保,座位数（个）
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Sportback 35 TFSI 运动型 VI 22.67万,,4,L,4,1395,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Sportback 40 TFSI 型 V 24.55万,,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Sportback 40 TFSI 型 VI 24.55万,,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Sportback 40 TFSI 运动型 V 24.55万,,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Sportback 40 TFSI 运动型 VI 24.55万,,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,3170,A3 2019款 Limousine 35 TFSI 进取型 V 19.46万,,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 35 TFSI 进取型 V 28.68万,CVN,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 35 TFSI 进取型 VI 28.68万,DKU,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 40 TFSI 进取型 V 30.08万,CWN,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 40 TFSI 进取型 VI 30.08万,DKU,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 40 TFSI 时型 V 33.58万,CWN,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 40 TFSI 时型 VI 33.58万,DKU,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 40 TFSI 运动型 V 36.28万,CWN,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 40 TFSI 运动型 VI 36.28万,DKU,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 45 TFSI quattro 个性运动 V 36.28万,,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 45 TFSI quattro 个性运动 VI 36.28万,,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 45 TFSI quattro 运动型 V 40.18万,,4,L,4,1984,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,692,A4L 2019款 45 TFSI quattro 运动型 VI 40.18万,,4,L,4,1984,VI,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 40 TFSI 致雅型 40.98万,,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 40 TFSI 动感型 40.98万,,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 45 TFSI 臻选致雅型 43.38万,DKW,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 45 TFSI 臻选动感型 43.38万,DKW,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 45 TFSI quattro 臻选致雅型 46.38万,DKW,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 45 TFSI quattro 臻选动感型 46.38万,DKW,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 45 TFSI quattro 尊享致雅型 50.68万,DKW,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 45 TFSI quattro 尊享动感型 50.68万,DKW,4,L,4,1984,VI,汽油,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 55 TFSI quattro 尊享致雅型 54.18万,,6,V,4,2995,VI,汽油+48V轻混系统,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 55 TFSI quattro 尊享动感型 54.18万,,6,V,4,2995,VI,汽油+48V轻混系统,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 55 TFSI quattro 旗舰致雅型 65.08万,,6,V,4,2995,VI,汽油+48V轻混系统,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,18,A6L 2019款 55 TFSI quattro 旗舰动感型 65.08万,,6,V,4,2995,VI,汽油+48V轻混系统,95,7挡双离合,2019.01,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4526,A6L新能源 2018款 40 e-tron 45.48万,,4,L,4,1984,V,插电式混合动力,95,,2017.12,,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 进取动感型 V 21.77万,CSS,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 进取动感型 VI 21.77万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.06,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 专享 V 21.88万,CSS,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 专享 VI 21.88万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.06,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 时致雅型 V 23.66万,CSS,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 时致雅型 VI 23.66万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.06,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 时动感型 V 23.84万,CSS,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 时动感型 VI 23.84万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.06,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 致雅型 V 26.85万,CSS,4,L,4,1395,V,汽油,95,7挡双离合,2018.1,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4871,Q2L 2018款 35TFSI 致雅型 VI 26.85万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.06,三10万公里,5
