2019-06-28 17:07:20,495 | Spider | INFO  | <font color="green">[CA1363]航班延误时间计算中...</font>
2019-06-28 17:07:20,600 | Spider | INFO  | CA1363 长沙 16:05 17:19
2019-06-28 17:07:20,601 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CA1363]出发地[北京首都]目的地[长沙]延误时间[74],不符合条件</font>
2019-06-28 17:07:20,655 | Spider | INFO  | <font color="green">[CA1221]航班延误时间计算中...</font>
2019-06-28 17:07:20,852 | Spider | INFO  | CA1221 兰州 16:05 17:21
2019-06-28 17:07:20,852 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CA1221]出发地[北京首都]目的地[兰州]延误时间[76],不符合条件</font>
2019-06-28 17:07:20,894 | Spider | INFO  | <font color="green">[MF8102]航班延误时间计算中...</font>
2019-06-28 17:07:21,059 | Spider | INFO  | MF8102 厦门 16:15 17:21
2019-06-28 17:07:21,060 | Spider | INFO  | <font color="red">机场[北京首都]航班号[MF8102]出发地[北京首都]目的地[厦门]延误时间[66],不符合条件</font>
2019-06-28 17:07:21,134 | Spider | INFO  | <font color="green">[CA855]航班延误时间计算中...</font>
2019-06-28 17:07:23,644 | Spider | INFO  | CA855 伦敦 16:15 17:18
2019-06-28 17:07:23,645 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CA855]出发地[北京首都]目的地[伦敦]延误时间[63],不符合条件</font>
2019-06-28 17:07:23,741 | Spider | INFO  | <font color="green">[CA1807]航班延误时间计算中...</font>
2019-06-28 17:07:24,113 | Spider | INFO  | CA1807 福州 16:20 17:19
2019-06-28 17:07:24,114 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CA1807]出发地[北京首都]目的地[福州]延误时间[59],不符合条件</font>
2019-06-28 17:07:24,260 | Spider | INFO  | <font color="green">[JL22]航班延误时间计算中...</font>
2019-06-28 17:07:24,533 | Spider | INFO  | JL22 东京羽田 16:20 17:21
2019-06-28 17:07:24,533 | Spider | INFO  | <font color="red">机场[北京首都]航班号[JL22]出发地[北京首都]目的地[东京羽田]延误时间[61],不符合条件</font>
2019-06-28 17:07:24,585 | Spider | INFO  | <font color="green">[UA889]航班延误时间计算中...</font>
2019-06-28 17:07:24,835 | Spider | INFO  | UA889 旧金山 16:25 17:21
2019-06-28 17:07:24,837 | Spider | INFO  | <font color="red">机场[北京首都]航班号[UA889]出发地[北京首都]目的地[旧金山]延误时间[56],不符合条件</font>
2019-06-28 17:07:24,894 | Spider | INFO  | <font color="green">[CZ323]航班延误时间计算中...</font>
2019-06-28 17:07:25,053 | Spider | INFO  | CZ323 广州 16:30 17:19
2019-06-28 17:07:25,054 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CZ323]出发地[北京首都]目的地[广州]延误时间[49],不符合条件</font>
2019-06-28 17:07:25,085 | Spider | INFO  | <font color="green">[MU781]航班延误时间计算中...</font>
2019-06-28 17:07:25,294 | Spider | INFO  | MU781 登巴萨 16:30 17:19
2019-06-28 17:07:25,295 | Spider | INFO  | <font color="red">机场[北京首都]航班号[MU781]出发地[北京首都]目的地[登巴萨]延误时间[49],不符合条件</font>
2019-06-28 17:07:25,354 | Spider | INFO  | <font color="green">[CA1571]航班延误时间计算中...</font>
2019-06-28 17:07:25,654 | Spider | INFO  | CA1571 青岛 16:30 17:19
2019-06-28 17:07:25,655 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CA1571]出发地[北京首都]目的地[青岛]延误时间[49],不符合条件</font>
2019-06-28 17:07:25,739 | Spider | INFO  | <font color="green">[MU5294]航班延误时间计算中...</font>
2019-06-28 17:07:25,896 | Spider | INFO  | MU5294 太原 16:35 17:19
2019-06-28 17:07:25,897 | Spider | INFO  | <font color="red">机场[北京首都]航班号[MU5294]出发地[北京首都]目的地[太原]延误时间[44],不符合条件</font>
2019-06-28 17:07:25,971 | Spider | INFO  | <font color="green">[SQ807]航班延误时间计算中...</font>
2019-06-28 17:07:26,195 | Spider | INFO  | SQ807 新加坡 16:35 17:21
