2019-06-26 16:25:24,276 | Spider | INFO  | <font color="green">content:机场[太原武宿]航班号[DR6530]出发地[太原武宿]目的地[昆明]延误时间[240]</font>
2019-06-26 16:25:24,278 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:25:24,278 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:25:24,306 | Spider | INFO  | <font color="green">[MU2363]航班延误时间计算中...</font>
2019-06-26 16:25:24,767 | Spider | INFO  | <font color="red">机场[太原武宿]航班号[MU2363]出发地[太原武宿]目的地[深圳]延误时间[100],不符合条件</font>
2019-06-26 16:25:24,795 | Spider | INFO  | <font color="green">[MU2771]航班延误时间计算中...</font>
2019-06-26 16:25:25,314 | Spider | INFO  | <font color="red">机场[太原武宿]航班号[MU2771]出发地[太原武宿]目的地[乌鲁木齐]延误时间[50],不符合条件</font>
2019-06-26 16:25:28,439 | Spider | INFO  | [天津滨海]：机场航班信息获取中...
2019-06-26 16:25:38,162 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:25:38,539 | Spider | INFO  | <font color="green">[XW879]航班延误时间计算中...</font>
2019-06-26 16:25:42,132 | Spider | INFO  | <font color="green">content:机场[天津滨海]航班号[XW879]出发地[天津滨海]目的地[曼谷]延误时间[1112]</font>
2019-06-26 16:25:42,134 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:25:42,134 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:25:42,197 | Spider | INFO  | <font color="green">[VN501]航班延误时间计算中...</font>
2019-06-26 16:25:43,171 | Spider | INFO  | <font color="green">content:机场[天津滨海]航班号[VN501]出发地[天津滨海]目的地[芽庄]延误时间[1091]</font>
2019-06-26 16:25:43,173 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:25:43,174 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:25:43,230 | Spider | INFO  | <font color="green">[JT2748]航班延误时间计算中...</font>
2019-06-26 16:25:46,414 | Spider | INFO  | <font color="green">content:机场[天津滨海]航班号[JT2748]出发地[天津滨海]目的地[美娜多]延误时间[1028]</font>
2019-06-26 16:25:46,416 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:25:46,417 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:25:46,444 | Spider | INFO  | <font color="green">[DZ6246]航班延误时间计算中...</font>
2019-06-26 16:25:47,209 | Spider | INFO  | <font color="red">机场[天津滨海]航班号[DZ6246]出发地[天津滨海]目的地[怀化]延误时间[79],不符合条件</font>
2019-06-26 16:25:47,237 | Spider | INFO  | <font color="green">[CA1259]航班延误时间计算中...</font>
2019-06-26 16:25:48,102 | Spider | INFO  | <font color="red">机场[天津滨海]航班号[CA1259]出发地[天津滨海]目的地[贵阳]延误时间[60],不符合条件</font>
2019-06-26 16:25:53,380 | Spider | INFO  | [沈阳桃仙]：机场航班信息获取中...
2019-06-26 16:26:02,428 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:26:02,600 | Spider | INFO  | <font color="green">[HU7790]航班延误时间计算中...</font>
2019-06-26 16:26:05,684 | Spider | INFO  | <font color="red">机场[沈阳桃仙]航班号[HU7790]出发地[沈阳桃仙]目的地[武汉]延误时间[40],不符合条件</font>
2019-06-26 16:26:05,717 | Spider | INFO  | <font color="green">[ZH9551]航班延误时间计算中...</font>
2019-06-26 16:26:06,113 | Spider | INFO  | <font color="red">机场[沈阳桃仙]航班号[ZH9551]出发地[沈阳桃仙]目的地[白山]延误时间[35],不符合条件</font>
2019-06-26 16:26:06,140 | Spider | INFO  | <font color="green">[MU2764]航班延误时间计算中...</font>
2019-06-26 16:26:06,672 | Spider | INFO  | <font color="red">机场[沈阳桃仙]航班号[MU2764]出发地[沈阳桃仙]目的地[南京]延误时间[75],不符合条件</font>
2019-06-26 16:26:09,779 | Spider | INFO  | [长春龙嘉]：机场航班信息获取中...
2019-06-26 16:26:18,027 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:26:18,259 | Spider | INFO  | <font color="green">[VN747]航班延误时间计算中...</font>
2019-06-26 16:26:21,704 | Spider | INFO  | <font color="green">content:机场[长春龙嘉]航班号[VN747]出发地[长春龙嘉]目的地[芽庄]延误时间[1083]</font>
2019-06-26 16:26:21,705 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:26:21,706 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:26:21,734 | Spider | INFO  | <font color="green">[CZ6155]航班延误时间计算中...</font>
2019-06-26 16:26:22,552 | Spider | INFO  | <font color="red">机场[长春龙嘉]航班号[CZ6155]出发地[长春龙嘉]目的地[上海浦东]延误时间[146],不符合条件</font>
2019-06-26 16:26:22,574 | Spider | INFO  | <font color="green">[CZ6619]航班延误时间计算中...</font>
2019-06-26 16:26:23,278 | Spider | INFO  | <font color="red">机场[长春龙嘉]航班号[CZ6619]出发地[长春龙嘉]目的地[南京]延误时间[135],不符合条件</font>
2019-06-26 16:26:23,315 | Spider | INFO  | <font color="green">[DZ6258]航班延误时间计算中...</font>
2019-06-26 16:26:26,637 | Spider | INFO  | <font color="red">机场[长春龙嘉]航班号[DZ6258]出发地[长春龙嘉]目的地[南京]延误时间[70],不符合条件</font>
2019-06-26 16:26:26,670 | Spider | INFO  | <font color="green">[CZ6652]航班延误时间计算中...</font>
2019-06-26 16:26:27,472 | Spider | INFO  | <font color="red">机场[长春龙嘉]航班号[CZ6652]出发地[长春龙嘉]目的地[武汉]延误时间[35],不符合条件</font>
2019-06-26 16:26:27,533 | Spider | INFO  | <font color="green">[DZ6218]航班延误时间计算中...</font>
2019-06-26 16:26:28,471 | Spider | INFO  | <font color="red">机场[长春龙嘉]航班号[DZ6218]出发地[长春龙嘉]目的地[无锡]延误时间[50],不符合条件</font>
2019-06-26 16:26:36,167 | Spider | INFO  | [常德桃花源]：机场航班信息获取中...
2019-06-26 16:26:38,326 | Spider | INFO  | [常德桃花源]机场暂无延误航班,出场延误航班数：0
2019-06-26 16:26:39,477 | Spider | INFO  | [珠海金湾]：机场航班信息获取中...
2019-06-26 16:26:48,009 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:26:48,283 | Spider | INFO  | <font color="green">[CA4049]航班延误时间计算中...</font>
2019-06-26 16:26:51,911 | Spider | INFO  | <font color="green">content:机场[珠海金湾]航班号[CA4049]出发地[珠海金湾]目的地[达州]延误时间[192]</font>
2019-06-26 16:26:51,912 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:26:51,913 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:26:51,963 | Spider | INFO  | <font color="green">[SC4910]航班延误时间计算中...</font>
2019-06-26 16:26:53,044 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[SC4910]出发地[珠海金湾]目的地[南昌]延误时间[115],不符合条件</font>
2019-06-26 16:26:53,076 | Spider | INFO  | <font color="green">[HU7354]航班延误时间计算中...</font>
2019-06-26 16:26:56,594 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[HU7354]出发地[珠海金湾]目的地[三亚]延误时间[57],不符合条件</font>
2019-06-26 16:26:56,618 | Spider | INFO  | <font color="green">[ZH9766]航班延误时间计算中...</font>
2019-06-26 16:26:57,461 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[ZH9766]出发地[珠海金湾]目的地[烟台]延误时间[0],不符合条件</font>
2019-06-26 16:26:57,502 | Spider | INFO  | <font color="green">[HO1160]航班延误时间计算中...</font>
2019-06-26 16:27:01,254 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[HO1160]出发地[珠海金湾]目的地[上海虹桥]延误时间[5],不符合条件</font>
2019-06-26 16:27:01,283 | Spider | INFO  | <font color="green">[SC4990]航班延误时间计算中...</font>
2019-06-26 16:27:02,362 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[SC4990]出发地[珠海金湾]目的地[重庆]延误时间[0],不符合条件</font>
2019-06-26 16:27:02,379 | Spider | INFO  | <font color="green">[ZH8313]航班延误时间计算中...</font>
2019-06-26 16:27:04,439 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[ZH8313]出发地[珠海金湾]目的地[南京]延误时间[64],不符合条件</font>
2019-06-26 16:27:06,153 | Spider | INFO  | <font color="green">[CA4056]航班延误时间计算中...</font>
2019-06-26 16:27:07,617 | Spider | INFO  | <font color="red">机场[珠海金湾]航班号[CA4056]出发地[珠海金湾]目的地[银川]延误时间[100],不符合条件</font>
2019-06-26 16:27:13,346 | Spider | INFO  | [南昌昌北]：机场航班信息获取中...
2019-06-26 16:27:21,604 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:27:21,776 | Spider | INFO  | <font color="green">[E3810]航班延误时间计算中...</font>
2019-06-26 16:27:24,979 | Spider | INFO  | <font color="green">content:机场[南昌昌北]航班号[E3810]出发地[南昌昌北]目的地[曼谷]延误时间[1153]</font>
2019-06-26 16:27:24,981 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:27:24,982 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:27:25,010 | Spider | INFO  | <font color="green">[BL1257]航班延误时间计算中...</font>
2019-06-26 16:27:25,761 | Spider | INFO  | <font color="green">content:机场[南昌昌北]航班号[BL1257]出发地[南昌昌北]目的地[岘港]延误时间[206]</font>
2019-06-26 16:27:25,762 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:27:25,762 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:27:25,807 | Spider | INFO  | <font color="green">[KX3801]航班延误时间计算中...</font>
2019-06-26 16:27:26,615 | Spider | INFO  | <font color="green">content:机场[南昌昌北]航班号[KX3801]出发地[南昌昌北]目的地[赣州]延误时间[385]</font>
2019-06-26 16:27:26,617 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:27:26,618 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:27:26,667 | Spider | INFO  | <font color="green">[SC4910]航班延误时间计算中...</font>
2019-06-26 16:27:29,948 | Spider | INFO  | <font color="red">机场[南昌昌北]航班号[SC4910]出发地[南昌昌北]目的地[青岛]延误时间[75],不符合条件</font>
2019-06-26 16:27:33,077 | Spider | INFO  | [南京禄口]：机场航班信息获取中...
2019-06-26 16:27:43,135 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-26 16:27:47,882 | Spider | INFO  | <font color="green">[H17033]航班延误时间计算中...</font>
2019-06-26 16:28:23,386 | Spider | INFO  | <font color="green">content:机场[南京禄口]航班号[H17033]出发地[南京禄口]目的地[米兰]延误时间[295]</font>
2019-06-26 16:28:23,389 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:28:23,390 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:28:23,746 | Spider | INFO  | <font color="green">[Q2391]航班延误时间计算中...</font>
2019-06-26 16:28:48,437 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[Q2391]出发地[南京禄口]目的地[乌鲁木齐]延误时间[28],不符合条件</font>
2019-06-26 16:28:48,468 | Spider | INFO  | <font color="green">[OZ350]航班延误时间计算中...</font>
2019-06-26 16:29:10,031 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[OZ350]出发地[南京禄口]目的地[首尔]延误时间[122],不符合条件</font>
2019-06-26 16:29:10,095 | Spider | INFO  | <font color="green">[MU2771]航班延误时间计算中...</font>
2019-06-26 16:29:53,938 | Spider | INFO  | <font color="green">content:机场[南京禄口]航班号[MU2771]出发地[南京禄口]目的地[米兰]延误时间[1003]</font>
2019-06-26 16:29:53,940 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:29:53,940 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:29:55,184 | Spider | INFO  | <font color="green">[MU2885]航班延误时间计算中...</font>
2019-06-26 16:30:44,445 | Spider | INFO  | <font color="green">content:机场[南京禄口]航班号[MU2885]出发地[南京禄口]目的地[曼谷]延误时间[1003]</font>
2019-06-26 16:30:44,447 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:30:44,447 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:30:44,718 | Spider | INFO  | <font color="green">[Q2391]航班延误时间计算中...</font>
2019-06-26 16:31:01,983 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[Q2391]出发地[南京禄口]目的地[兰州]延误时间[55],不符合条件</font>
2019-06-26 16:31:02,087 | Spider | INFO  | <font color="green">[CZ3412]航班延误时间计算中...</font>
2019-06-26 16:31:14,756 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ3412]出发地[南京禄口]目的地[西宁]延误时间[78],不符合条件</font>
2019-06-26 16:31:14,841 | Spider | INFO  | <font color="green">[NX127]航班延误时间计算中...</font>
2019-06-26 16:31:32,657 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[NX127]出发地[南京禄口]目的地[澳门]延误时间[43],不符合条件</font>
2019-06-26 16:31:32,714 | Spider | INFO  | <font color="green">[SC4921]航班延误时间计算中...</font>
2019-06-26 16:31:54,590 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[SC4921]出发地[南京禄口]目的地[烟台]延误时间[62],不符合条件</font>
2019-06-26 16:31:54,846 | Spider | INFO  | <font color="green">[PN6296]航班延误时间计算中...</font>
2019-06-26 16:32:18,633 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[PN6296]出发地[南京禄口]目的地[贵阳]延误时间[43],不符合条件</font>
2019-06-26 16:32:18,685 | Spider | INFO  | <font color="green">[HU7594]航班延误时间计算中...</font>
2019-06-26 16:32:39,107 | Spider | INFO  | <font color="red">读取航班时间失败!重试[1]...</font>
2019-06-26 16:32:48,564 | Spider | INFO  | <font color="green">[Q2391]航班延误时间计算中...</font>
2019-06-26 16:33:09,277 | Spider | INFO  | <font color="green">content:机场[南京禄口]航班号[Q2391]出发地[南京禄口]目的地[曼谷]延误时间[1003]</font>
2019-06-26 16:33:09,278 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:33:09,279 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:33:09,601 | Spider | INFO  | <font color="green">[OZ350]航班延误时间计算中...</font>
2019-06-26 16:33:25,751 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[OZ350]出发地[南京禄口]目的地[首尔]延误时间[122],不符合条件</font>
2019-06-26 16:33:25,807 | Spider | INFO  | <font color="green">[MU2763]航班延误时间计算中...</font>
2019-06-26 16:33:39,764 | Spider | INFO  | <font color="green">content:机场[南京禄口]航班号[MU2763]出发地[南京禄口]目的地[曼谷]延误时间[1003]</font>
2019-06-26 16:33:39,765 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:33:39,766 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:33:40,141 | Spider | INFO  | <font color="green">[OZ350]航班延误时间计算中...</font>
2019-06-26 16:34:08,451 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[OZ350]出发地[南京禄口]目的地[西安]延误时间[68],不符合条件</font>
2019-06-26 16:34:08,675 | Spider | INFO  | <font color="green">[MU9680]航班延误时间计算中...</font>
2019-06-26 16:34:28,604 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[MU9680]出发地[南京禄口]目的地[兰州]延误时间[55],不符合条件</font>
2019-06-26 16:34:28,726 | Spider | INFO  | <font color="green">[CZ3412]航班延误时间计算中...</font>
2019-06-26 16:34:53,697 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ3412]出发地[南京禄口]目的地[西宁]延误时间[78],不符合条件</font>
2019-06-26 16:34:53,723 | Spider | INFO  | <font color="green">[NX127]航班延误时间计算中...</font>
2019-06-26 16:35:05,022 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[NX127]出发地[南京禄口]目的地[沈阳]延误时间[128],不符合条件</font>
2019-06-26 16:35:15,285 | Spider | INFO  | <font color="green">[HU7594]航班延误时间计算中...</font>
2019-06-26 16:35:34,371 | Spider | INFO  | <font color="red">读取航班时间失败!重试[2]...</font>
2019-06-26 16:35:34,372 | Spider | INFO  | <font color="red">读取航班时间失败!暂时跳过...</font>
2019-06-26 16:35:44,267 | Spider | INFO  | <font color="green">[CZ3412]航班延误时间计算中...</font>
2019-06-26 16:35:56,515 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ3412]出发地[南京禄口]目的地[西宁]延误时间[78],不符合条件</font>
2019-06-26 16:35:58,350 | Spider | INFO  | <font color="green">[NX127]航班延误时间计算中...</font>
2019-06-26 16:36:10,654 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[NX127]出发地[南京禄口]目的地[澳门]延误时间[43],不符合条件</font>
2019-06-26 16:36:10,705 | Spider | INFO  | <font color="green">[SC4921]航班延误时间计算中...</font>
2019-06-26 16:36:21,667 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[SC4921]出发地[南京禄口]目的地[烟台]延误时间[62],不符合条件</font>
2019-06-26 16:36:24,276 | Spider | INFO  | <font color="green">[PN6296]航班延误时间计算中...</font>
2019-06-26 16:36:41,372 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[PN6296]出发地[南京禄口]目的地[贵阳]延误时间[43],不符合条件</font>
