2019-06-16 04:16:36,516 | Spider | INFO  | 获取商家编码[DB3011], ID[596289888551]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:36,519 | Spider | INFO  | 即将修改商家编码[DB3011], ID[596289888551], 尺码[40.5]，初始金额[909.00]，Excel金额[909], 增减金额[0], 修改后金额[909.0]的商品信息
2019-06-16 04:16:36,520 | Spider | INFO  | 即将修改商家编码[DB3011], ID[596289888551], 尺码[41]，初始金额[879.00]，Excel金额[879], 增减金额[0], 修改后金额[879.0]的商品信息
2019-06-16 04:16:36,687 | Spider | INFO  | 修改商家编码[DB3011], ID[596289888551]价格成功，请刷新后查看...
2019-06-16 04:16:36,688 | Spider | INFO  | 程序等待60秒后继续运行：防止操作太快出错
2019-06-16 04:16:39,773 | Spider | INFO  | 获取商家编码[Q21903], ID[596703490338]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:39,965 | Spider | INFO  | 修改商家编码[Q21903], ID[596703490338]价格成功，请刷新后查看...
2019-06-16 04:16:40,044 | Spider | INFO  | 获取商家编码[EE6329], ID[596703322456]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:40,045 | Spider | INFO  | 即将修改商家编码[EE6329], ID[596703322456], 尺码[40.5]，初始金额[639.00]，Excel金额[639], 增减金额[0], 修改后金额[639.0]的商品信息
2019-06-16 04:16:40,046 | Spider | INFO  | 即将修改商家编码[EE6329], ID[596703322456], 尺码[41]，初始金额[639.00]，Excel金额[639], 增减金额[0], 修改后金额[639.0]的商品信息
2019-06-16 04:16:40,217 | Spider | INFO  | 修改商家编码[EE6329], ID[596703322456]价格成功，请刷新后查看...
2019-06-16 04:16:40,325 | Spider | INFO  | 获取商家编码[FU6684], ID[596685978554]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:40,327 | Spider | INFO  | 即将修改商家编码[FU6684], ID[596685978554], 尺码[39]，初始金额[2379.00]，Excel金额[2379], 增减金额[0], 修改后金额[2379.0]的商品信息
2019-06-16 04:16:40,328 | Spider | INFO  | 即将修改商家编码[FU6684], ID[596685978554], 尺码[40]，初始金额[2289.00]，Excel金额[2289], 增减金额[0], 修改后金额[2289.0]的商品信息
2019-06-16 04:16:40,329 | Spider | INFO  | 即将修改商家编码[FU6684], ID[596685978554], 尺码[41]，初始金额[2579.00]，Excel金额[2579], 增减金额[0], 修改后金额[2579.0]的商品信息
2019-06-16 04:16:40,498 | Spider | INFO  | 修改商家编码[FU6684], ID[596685978554]价格成功，请刷新后查看...
2019-06-16 04:16:40,580 | Spider | INFO  | 获取商家编码[BB1835], ID[596523737006]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:40,758 | Spider | INFO  | 修改商家编码[BB1835], ID[596523737006]价格成功，请刷新后查看...
2019-06-16 04:16:40,848 | Spider | INFO  | 获取商家编码[EF2810], ID[596523481562]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:40,848 | Spider | INFO  | 即将修改商家编码[EF2810], ID[596523481562], 尺码[40.5]，初始金额[1399.00]，Excel金额[1399], 增减金额[0], 修改后金额[1399.0]的商品信息
2019-06-16 04:16:40,849 | Spider | INFO  | 即将修改商家编码[EF2810], ID[596523481562], 尺码[41]，初始金额[1019.00]，Excel金额[1019], 增减金额[0], 修改后金额[1019.0]的商品信息
2019-06-16 04:16:41,030 | Spider | INFO  | 修改商家编码[EF2810], ID[596523481562]价格成功，请刷新后查看...
2019-06-16 04:16:41,114 | Spider | INFO  | 获取商家编码[B26279], ID[596523161838]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:41,306 | Spider | INFO  | 修改商家编码[B26279], ID[596523161838]价格成功，请刷新后查看...
2019-06-16 04:16:41,396 | Spider | INFO  | 获取商家编码[BB8973], ID[596885443218]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:41,576 | Spider | INFO  | 修改商家编码[BB8973], ID[596885443218]价格成功，请刷新后查看...
2019-06-16 04:16:41,654 | Spider | INFO  | 获取商家编码[B37342], ID[596703754064]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:41,655 | Spider | INFO  | 即将修改商家编码[B37342], ID[596703754064], 尺码[40.5]，初始金额[1299.00]，Excel金额[1299], 增减金额[0], 修改后金额[1299.0]的商品信息
